periodo,molienda_cereales_y_oleaginosas,resto_de_alimentos,bebidas,tabaco,textil_indumentaria_y_cuero,madera_papel_y_edicion,refinacion_de_petroleo,quimicos,caucho_y_plastico,minerales_no_metalicos,metales_basicos,metalmecanica,automotriz,resto_de_industria,total_industria
2016-09-01,108190.307,134415.3290000002,48066.858,3339.55,66746.97699999996,105101.257,65645.936,205809.5350000002,78887.18600000005,164634.162,190596.741,21824.687,38480.71299999999,1058.036,1232797.274
2016-10-01,102282.8529999999,133160.328,49627.787,2823.23,64552.61999999997,112349.542,66916.431,212073.2159999998,81078.09300000001,167456.612,211215.564,22198.197,39104.53800000002,1065.82,1265904.831
2016-11-01,103876.847,137600.22,51134.45700000002,3241.41,67732.32299999999,107280.061,65279.01100000001,216928.3479999999,82479.23300000001,168027.651,210741.9950000001,22489.35000000001,41318.308,1071.434,1279200.648
2016-12-01,88909.50299999995,140028.1849999999,57210.41400000001,3438.440000000001,54241.14299999995,98664.96400000001,64503.76900000001,217094.972,79420.83200000001,171601.998,185246.973,19993.994,39775.43299999999,1264.246,1221394.866
2017-01-01,92973.68399999999,142842.7579999999,59037.27100000002,3994.37,53861.458,99947.91500000012,69253.05100000005,226858.057,78826.41399999998,155702.934,151822.4740000001,18827.005,32738.36399999999,1201.02,1187886.775
2017-02-01,91189.076,139597.3940000001,52492.786,3532.35,63805.65600000002,103680.1009999999,59802.339,206708.734,72069.24099999999,154856.42,166703.3389999999,20862.083,34262.46800000001,1156.661,1170718.648
2017-03-01,108910.9889999999,151522.442,55664.33199999997,3686.44,71848.16199999998,108320.337,67399.29000000001,229890.0300000001,83257.588,171832.5150000001,234741.3050000001,23468.22199999999,41508.82000000001,1237.197,1353287.669
2017-04-01,107877.2059999999,140943.861,45634.94899999999,3013.5,65484.446,104083.627,64975.15900000001,217495.456,79209.4160000001,169178.825,220542.287,21953.07,36803.943,1034.672,1278230.417
2017-05-01,113717.1200000001,135164.736,42887.66399999998,3226.26,68812.77099999999,108597.3,67067.64900000002,220786.9289999999,81508.216,171937.59,226154.1629999999,23755.293,39687.233,1020.799,1304323.723
2017-06-01,107733.726,137010.5740000001,39278.96300000001,3024.86,68059.93200000002,108092.7939999999,65623.01800000003,214904.3009999999,78917.54199999999,159416.738,218159.81,23620.624,39785.19399999999,986.1759999999999,1264614.252
2017-07-01,108379.667,138001.653,43608.74300000001,3245.19,69658.46000000004,114396.524,60331.81999999999,208293.683,79572.88300000005,171935.9480000001,231958.083,24266.441,38210.06000000001,936.049,1292795.204
2017-08-01,104256.953,142617.114,45958.79,3316.3,70163.26899999996,113307.8209999999,66544.982,224363.2080000002,83302.28700000001,177181.3,236869.1900000001,25095.896,40017.95,1056.654,1334051.714
2017-09-01,94173.378,136552.9200000001,46394.63500000001,3161.08,69472.50600000007,112271.738,61922.14400000001,218381.019,82919.57199999997,175007.635,256643.2189999999,23364.136,38735.022,961.6589999999999,1319960.663
2017-10-01,103748.968,137790.3510000001,49494.651,3106.53,68992.16600000001,112624.6530000001,62212.30300000002,224053.1470000001,82809.53900000009,185413.296,249521.549,23554.624,39303.87399999999,948.4010000000001,1343574.052
2017-11-01,92265.12799999997,140377.9229999999,54214.75699999999,3132.97,70479.72399999999,109838.635,51449.438,218815.7849999999,82219.106,183663.37,270755.1220000001,23819.601,39710.04299999999,1028.617,1341770.219
2017-12-01,78400.07900000001,138544.626,57124.41900000002,3095.61,62460.59699999999,103033.631,67155.71700000002,226024.7080000001,77212.46899999998,181050.173,230385.043,21988.086,35990.459,1142.585,1283608.202
2018-01-01,88997.78499999996,142092.1429999999,60314.892,3535.53,55935.39899999999,106274.279,63541.64599999999,224374.963,74509.57600000003,175299.2439999999,199047.3769999999,20624.625,29574.434,1120.567,1245242.46
2018-02-01,88889.89499999996,140040.7090000001,52176.60400000001,3101.09,57854.96399999999,105397.1949999999,56535.49200000002,199362.061,73312.46000000004,164567.276,246320.495,21057.809,37973.65999999999,1227.476,1247817.186
2018-03-01,99693.44200000001,148057.2530000001,55196.10900000001,3215.36,68433.628,113365.67,63376.857,220956.4770000002,79345.4159999999,181250.349,283873.917,22570.783,41390.42400000001,1109.972,1381835.657000001
2018-04-01,101453.662,148844.3480000001,49395.31099999999,2945.7,65484.48099999999,108186.682,61071.75000000003,215372.7190000001,78404.38899999997,182103.0119999999,282420.2830000001,22899.936,39867.25299999999,1237.99,1359687.516
2018-05-01,108072.647,144448.8660000001,44560.60999999998,2947,62875.86399999998,108464.464,57285.385,221282.5969999999,78293.54500000003,178238.922,286818.6070000001,21900.929,38847.764,1245.167,1355282.367
2018-06-01,97601.79600000007,132730.114,36799.57299999999,2500.47,60490.41,109152.49,60283.01500000001,196319.3,70413.62500000003,166704.6499999999,267780.6990000001,19484.619,36126.11399999999,1199.835,1257586.71
2018-07-01,92567.18499999997,137920.5819999999,41156.49999999997,2676.09,60732.83699999998,106650.135,62980.665,190803.7300000001,70203.856,159503.734,273585.577,20120.833,38065.70300000002,1223.968,1258191.395
2018-08-01,90180.53699999997,141798.6230000001,43235.81399999998,2630.03,60185.36299999993,106948.985,68136.24299999999,197995.4100000001,74322.97899999998,172262.2369999999,283065.7019999998,21592.712,39769.32899999999,1277.523,1303401.487
2018-09-01,87679.7120000001,135198.4290000001,41885.12300000001,2432.21,56150.79100000003,105049.382,70351.72200000002,203108.006,71216.43799999999,173720.791,264207.5249999998,18514.029,34901.311,1172.069,1265587.538
2018-10-01,91643.76300000002,138329.7620000001,48129.63599999998,2789.63,54042.42699999995,106643.3850000001,63793.81600000001,210871.3180000001,71196.53599999998,171477.5859999999,279036.172,19007.84499999999,36711.45000000001,1086.478,1294759.804
2018-11-01,93050.67900000002,139676.853,47941.15200000002,2887.65,50818.82700000003,102838.851,60563.454,208826.749,70082.95600000001,166497.9659999999,281040.749,19815.911,35857.55000000002,1125.192,1281024.539
2018-12-01,82397.47099999999,136030.9540000001,47713.11000000001,2458.2,39761.862,92929.14500000002,65287.905,214302.345,63135.52599999998,168658.965,177066.9970000001,17790.016,28452.61800000001,1097.457,1137082.571
2019-01-01,86312.89399999997,143045.543,51379.891,3354.110000000001,35793.40799999998,95542.819,66267.91100000002,212502.896,64554.61499999999,156812.4960000001,193980.089,14353.414,24599.00099999999,1183.382,1149682.469
2019-02-01,85888.91899999999,140584.0060000001,46735.712,2899.61,51148.45,97486.81900000002,58472.56700000001,198692.6700000002,65352.331,153734.6569999999,182255.819,18362.961,33723.70800000001,1307.475,1136645.704
2019-03-01,93651.35599999999,142828.9540000002,46469.39599999999,2674.01,56407.08100000001,101602.5169999999,64453.736,216044.091,64505.41700000002,171028.656,251233.063,19392.38,30505.267,1019.159,1261815.083000001
2019-04-01,119729.644,142540.5449999999,46352.25499999999,2442.2,57444.242,96515.35600000007,51152.12499999999,204967.3520000001,64655.45199999998,167350.46,266748,19839.529,30738.009,1057.984,1271533.153
2019-05-01,118335.735,143839.9330000001,38836.24299999999,2571.7,58604.24699999999,100545.168,63676.43199999999,207100.6130000002,66961.51900000001,169010.412,260830.9820000001,21462.97399999999,31332.91299999999,955.0940000000001,1284063.965
2019-06-01,114988.698,134643.1550000001,34907.666,2079.18,56821.684,99026.69600000001,59653.06000000003,182269.654,61377.55299999998,148643.061,244301.7080000001,20219.946,28000.22700000001,977.9150000000001,1187910.203
2019-07-01,113495.419,139135.0679999999,39750.09500000001,2456,61000.15500000001,101572.0370000001,60247.613,191732.7280000001,65569.24100000001,153536.375,259305.781,21382.59,30396.60299999999,1021.293,1240600.998
2019-08-01,101728.3970000001,140788.646,43034.18200000001,2492.930000000001,60901.18399999999,104567.37,68950.76400000001,195372.3050000001,65698.91699999994,173478.9950000002,284581.9510000001,20587.553,32225.823,1060.243,1295469.26
2019-09-01,86657.54800000001,130606.5060000001,47873.38700000003,2299.51,58870.99000000001,100561.964,65254.09100000002,184852.996,63817.204,174251.727,252172.3320000001,20059.835,30370.345,1148.548,1218796.983
2019-10-01,88081.10100000004,136500.8210000001,50194.85800000001,2503.83,59976.41800000003,106598.072,65670.73300000002,210054.665,67378.24299999999,172060.882,265412.3779999999,20347.02299999999,32392.701,1159.724,1278331.449
2019-11-01,82324.05000000002,139557.6780000001,51419.56300000001,2535.03,60609.274,103973.3849999999,62122.094,206746.2709999999,68053.33899999996,150331.345,245301.0680000001,20918.604,31641.582,1234.422,1226767.705
2019-12-01,71079.85799999998,137391.4440000001,55486.92600000001,2421.936,46752.50000000002,95561.55499999998,67738.41500000001,210138.6580000001,64519.54200000002,150963.8769999999,160841.379,18521.075,25592.203,1216.65,1108226.018
2020-01-01,83024.88600000003,140116.2450000001,60607.076,2884.443,48371.14599999998,96002.94200000004,65486.75300000003,212244.7320000001,60617.541,150687.9860000001,152989.542,18517.95,26602.13600000001,1127.279,1119280.657
2020-02-01,79082.27300000002,140118.9329999999,54219.73100000001,2672.765,55470.14700000003,94331.09900000009,59634.12899999999,196194.65,63628.68100000003,149829.804,178257.2289999999,20068.929,31983.37100000001,1113.427,1126605.168
2020-03-01,82536.86400000003,143233.884,52619.357,2238.445,43785.03399999998,87901.29400000001,61872.63300000002,214256.842,56165.22600000002,111947.55,148846.297,18431.455,25909.136,1205.546,1050949.563
2020-04-01,91174.38999999996,135796.302,41508.15000000001,592.145,16638.61500000001,80007.46600000007,53982.73999999999,178654.424,37713.15800000002,56328.97099999998,54997.01600000002,11525.504,8691.679,1074.971,768685.5309999998
2020-05-01,95261.17200000002,140758.9670000001,36664.82899999999,2230.244,32828.09900000001,90678.54699999998,59520.65500000001,199180.3780000001,52317.48500000001,103065.034,133480.193,16869.06,15990.847,1103.59,979949.1000000001
2020-06-01,90434.85000000002,134800.966,35904.85200000001,3201.423,44996.18100000005,87993.64499999999,60703.20099999999,184011.764,58098.20899999998,123950.499,151928.475,19561.321,25522.063,1226.007,1022333.456
2020-07-01,92862.21400000004,134582.9320000001,39955.37899999999,3008.744,51426.367,98595.86800000002,62691.201,200502.3140000001,58478.014,149711.2829999999,161766.0100000001,20215.31200000001,28705.35800000001,1135.911,1103636.907000001
2020-08-01,93982.43000000002,134759.74,43197.20900000001,2590.476,54363.92099999996,98391.80300000001,65973.09799999998,204440.4680000001,64885.04500000003,164058.223,175248.246,21609.842,30071.971,1211.451,1154783.923
2020-09-01,85377.927,132332.0980000001,44676.44600000002,2473.91,55280.797,100375.263,61055.30899999999,200252.2979999999,66906.07699999996,167474.3510000001,189046.0420000001,21564.094,31287.877,1209.464,1159311.953
2020-10-01,87419.86499999999,136896.5129999998,47641.93599999999,2339.043,60457.81299999999,100266.44,66561.73000000004,207403.811,69690.88000000005,180096.896,206524.9810000001,22335.356,31142.971,1144.151,1219922.386
2020-11-01,92381.405,138472.9359999999,49674.88499999998,2566.542,61426.24400000004,99715.61700000001,67483.42999999999,216716.199,72250.425,179484.2659999999,222285.3070000001,23420.597,33373.61699999999,1263.727,1260515.196999999
2020-12-01,45319.71500000001,135741.7099999999,55603.37999999998,2072.266,48246.60200000001,94722.784,69697.68699999998,218738.681,66054.00299999998,167692.509,213964.7779999998,21489.054,30680.168,1155.292,1171178.629
2021-01-01,81171.70800000003,138659.559,57891.48100000001,2372.933,52315.28100000003,87362.71599999996,73543.76299999998,217923.0250000002,69001.57799999998,170535.458,224704.758,20411.38,28235.496,1251.09,1225380.226
2021-02-01,87217.53199999996,136746.005,51912.551,2362.781,57647.93900000001,94869.18799999999,63543.39000000001,190028.6220000001,64653.28600000002,148620.279,193276.9429999999,22832.40399999999,30331.62800000001,1308.315,1145350.863
2021-03-01,100128.958,149468.6140000001,56472.35099999998,2888.938,64874.23300000001,100131.25,65023.51600000002,220686.0520000001,70685.247,176875.851,258049.291,23847.93199999999,37196.34699999998,1248.898,1327577.478
2021-04-01,95172.71700000005,145221.112,49587.38499999999,2570.746,61497.14499999998,95611.50499999995,56291.885,221211.8530000001,68028.35300000005,173545.037,228853.9569999999,22852.05,31902.847,1292.017,1253638.609
2021-05-01,99829.53599999995,141225.5130000001,42789.46699999998,2258.046,61085.09500000002,95954.35000000002,62521.06300000001,221632.265,65974.73999999996,169773.1459999999,279737.6640000001,22807.251,33802.672,1233.332,1300624.140000001
2021-06-01,96901.60799999999,134952.6500000002,42789.46800000003,2557.665,60105.92499999995,101658.963,65243.73700000002,211099.7100000001,67913.38999999994,168622.109,271404.6,23340.427,34764.156,1276.407,1282630.815
2021-07-01,100081.093,140449.514,41364.74,2245.614,62399.70600000001,106026.921,66511.81300000002,197491.698,67342.72600000002,170070.221,274060.6590000002,23790.66200000001,33788.63900000001,1238.363,1286862.369
2021-08-01,87659.03500000002,141356.9370000001,46480.28800000002,2453.893,62738.96800000002,101204.055,65706.07900000001,202271.0539999999,68700.35900000003,181348.0320000001,291276.323,24012.031,35181.95099999999,1323.829,1311712.834
2021-09-01,86864.82099999998,143247.349,48119.59599999998,2340.042,63804.38099999999,101954.7900000001,63654.37300000001,207215.5539999999,70098.01299999998,187087.1100000002,289857.17,23521.036,33965.27000000001,1249.254,1322978.759
2021-10-01,87837.25000000004,136924.9389999999,49454.52900000002,2285.76,62307.93900000003,104012.6240000001,66279.433,207069.9289999999,68953.94799999999,182928.8369999999,295538.996,22245.616,33899.422,1210.752,1320949.974
2021-11-01,85818.60699999997,140009.0769999999,54728.792,2412.832,63804.68599999999,104051.267,74061.49999999999,221861.99,71891.01299999998,186919.658,290208.4780000001,23297.992,36783.61700000001,1349.573,1357199.082
2021-12-01,69237.33600000002,139910.6880000001,59482.774,2294.206,50187.15300000001,97820.17700000005,74793.47500000001,225101.23,68772.26600000002,175981.129,279258.49,22842.087,35148.05700000001,1350.621,1302179.689
2022-01-01,74660.62100000001,138841.913,60571.578,2659.82,48248.39899999999,98147.60699999996,73442.23299999996,229777.1599999999,63843.59599999998,170342.564,223096.5890000001,20487.73900000001,26386.834,1316.734,1231823.387
2022-01-02,80502.06799999998,138242.5629999998,57132.94300000002,2536.594,60329.24200000001,97696.07400000004,55621.61700000001,208258.178,67816.609,162162.441,227578.2690000001,22123.444,32830.61199999999,1451.891,1214282.545
2022-01-03,89566.16000000002,144806.9689999999,59440.085,2523.248,64919.93399999999,100973.7379999999,60723.81200000001,230640.9289999999,71630.83799999997,176771.101,282409.5059999999,23506.479,35647.42600000001,1253.407,1344813.631999999
2022-01-04,99445.80700000003,143035.6709999999,52326.53099999997,2222.68,63403.70300000001,99152.35299999997,63666.063,224980.0750000001,72947.33099999999,176949.7910000001,245095.8110000001,23636.99299999999,33852.77400000001,1356.062,1302071.645
2022-01-05,103187.166,144730.014,49674.591,2255.704,63236.819,103108.331,68638.74900000003,225001.1970000001,69519.705,182848.6569999999,301124.143,23948.958,33249.80099999998,1265.533,1371789.368
